Source,supplier_source_string_upper,supplier_match_string_upper,supplier_id
Contract,LORIEN RESOURCING LTD,LORIEN RESOURCING LIMITED,01333388
Contract,PERTEMPS,PERTEMPS LIMITED,04881571
Contract,VENESKY-BROWN RECURITMENT LTD,VENESKY-BROWN RECRUITMENT LTD.,SC279944
Contract,HARVEY NASH GROUP PLC,HARVEY NASH GROUP LIMITED,03320790
Contract,ASA RECRUITMENT,A S A RECRUITMENT LIMITED,04163947
Contract,WEBER PACKAGIN SOLUTIONS,WEBER PACKAGING LTD,11537965
Contract,UNIVERSITY OF THE WEST OF SCOTLAND,THE UNIVERSITY OF THE WEST OF SCOTLAND FOUNDATION,CS003138
Contract,SCOTTISH AGRONOMY LTD,SCOTTISH AGRONOMY LIMITED,SP02211R
Contract,HERITAGE PORTFOLIO LTD,HERITAGE PORTFOLIO LIMITED,SC234207
Contract,SNIFFER,SNIFFER,SC149513
Contract,PRECISE MEDIA MONITORING LTD,PRECISE MEDIA MONITORING LTD,03247942
Contract,THE OPEN UNIVERSITY,OPEN UNIVERSITY(THE),RC000391
Contract,IMPACT FUNDING PARTNERS,IMPACT FUNDING PARTNERS LTD,SC261186
Contract,ENERGY SAVING TRUST,THE ENERGY SAVING TRUST LIMITED,02622374
Contract,ATOS IT SERVICES UK LIMITED,ATOS IT SERVICES UK LIMITED,01245534
Contract,DELOITTE LLP,DELOITTE LLP,OC303675
Contract,SCOTCEN SOCIAL RESEARCH,NATIONAL CENTRE FOR SOCIAL RESEARCH,04392418
Contract,SAC COMMERCIAL LTD,SAC COMMERCIAL LIMITED,SC148684
Contract,FREAKWORKS,FREAKWORKS LIMITED,SC256308
Contract,IPSOS MORI SCOTLAND,IPSOS MORI UK LIMITED,01640855
Contract,CEIS,CEIS AYRSHIRE,SC327751
Contract,J & E SHEPHERD,J & E SHEPHERD (ASBESTOS SOLUTIONS) LIMITED,SC263655
Contract,MORTON FRASER,MORTON FRASER LIMITED,05950461
Contract,ADT FIRE & SECURITY,ADT FIRE AND SECURITY PLC,01161045
Contract,GOODFELLOW & GOODFELLOW LTD,GOODFELLOW & GOODFELLOW LTD.,07659744
Contract,JW FILSHILL,J.W. FILSHILL LIMITED,SC019246
Contract,TREND CONTROL SYSTEMS LTD,TREND CONTROL SYSTEMS LIMITED,01664519
Contract,P&R FABRICS LTD,P.& R.FABRICS LIMITED,00791896
Contract,ANTALIS LTD,ANTALIS LIMITED,01088345
Contract,CCL (NORTH) LTD.,CCL (NORTH) LIMITED,03953663
Contract,VIRGIN MEDIA BUSINESS,VIRGIN MEDIA BUSINESS LIMITED,01785381
Contract,ROSS QUALITY CONTROL LIMITED,ROSS QUALITY CONTROL LIMITED,SC255970
Contract,THE ACCESS GROUP,ACCESS GROUP LTD,10664025
Contract,SIMPSON & SHAW LLP,SIMPSON & SHAW LLP,SO300516
Contract,DM HOMESHIELD LTD,D M HOMESHIELD LTD,SC439419
Contract,JOHN MCGEADY LTD,JOHN MCGEADY LIMITED,SC080553
Contract,TRIDENT MAINTENANCE SERVICES LTD,TRIDENT MAINTENANCE SERVICES LTD,SC503188
Contract,GLASS-TEC,GLASS-TEC (SCOTLAND) LTD.,SC198785
Contract,LUDDON CONSTRUCTION LIMITED,LUDDON CONSTRUCTION LIMITED,SC057943
Contract,AL GROUP LTD,AL GROUP LTD,13766765
Contract,BELL DECORATING GROUP LIMITED,BELL DECORATING GROUP LIMITED,SC114142
Contract,MCW SCOTLAND LTD,MCW SCOTLAND LIMITED,SC271932
Contract,CK CONTRACTS LTD,C.K. CONTRACTS LIMITED,SC176322
Contract,HAMILTON TARMAC,HAMILTON TARMAC LIMITED,SC416897
Contract,CITY GATE CONSTRUCTION (SCOTLAND) LIMITED,CITY GATE CONSTRUCTION (SCOTLAND) LIMITED,SC244614
Contract,MACPAC REFUSE BODIES LTD,MACPAC REFUSE BODIES LTD,NI619394
Contract,BUNCE (ASHBURY) LTD,BUNCE (ASHBURY) LIMITED,01008283
Contract,FLEAR AND THOMSON (KIA) LTD,FLEAR & THOMSON LIMITED,SC028660
Contract,ATE (UK) LTD,ATE (UK) LIMITED,07569911
Contract,JAMES GORDON LTD,JAMES GORDON LIMITED,SC293893
Contract,COURTSIDE CONVERSIONS LTD,COURTSIDE CONVERSIONS LIMITED,04213143
Contract,RANSOMES JACOBSEN LTD,RANSOMES JACOBSEN LIMITED,01070731
Contract,ARNOLD CLARK AUTOMOBILES LTD,ARNOLD CLARK AUTOMOBILES LIMITED,SC036386
Contract,CONFIDA FM LIMITED,CONFIDA FM LIMITED,SC562819
Contract,IMPERIAL COMMERCIALS LTD,IMPERIAL COMMERCIALS RETAIL LIMITED,12351667
Contract,GEESINKNORBA,GEESINK NORBA LIMITED,00306452
Contract,KARCHER UK LIMITED,KARCHER (U.K.) LIMITED,01350233
Contract,FINNING UK LTD,FINNING (UK) LTD.,00367090
Contract,STOCK SWEEPERS LIMITED,STOCK SWEEPERS LIMITED,06217242
Contract,SAINT GOBAIN BUILDING DISTRIBUTION LIMITED (T/A JP CORRY NI),SAINT-GOBAIN BUILDING DISTRIBUTION LIMITED,01647362
Contract,MK BUSINESS PSYCHOLOGY LTD,MK BUSINESS PSYCHOLOGY LIMITED,SC372882
Contract,1ST HOMECARE,1ST HOMECARE SOLUTIONS LIMITED,07119584
Contract,DIGITAL MARKETING SCOTLAND,DIGITAL MARKETING SCOTLAND LIMITED,SC502877
Contract,HAKO MACHINES LTD,HAKO MACHINES LIMITED,01414225
Contract,RAINBOW SERVICES (UK) LIMITED,RAINBOW SERVICES (UK) LIMITED,SC354644
Contract,NATIONAL SIGN COMPANY (A TRADING NAME OF PYSOCAL LTD),PYSOCAL LIMITED,SC058767
Contract,WESTERN COMMERCIAL,WESTERN COMMERCIAL LTD,13444638
Contract,FAUN ZOELLER UK LIMITED,FAUN ZOELLER (UK) LIMITED,00751804
Contract,NTM-GB LTD,NTM-GB LIMITED,04984293
Contract,SCARAB SWEEPERS LIMITED,SCARAB SWEEPERS LIMITED,01823459
Contract,THE DOUBLE A TRADING COMPANY LIMITED,THE DOUBLE A TRADING COMPANY LIMITED,SC205889
Contract,TERBERG MATEC UK LTD,TERBERG MATEC UK LIMITED,09699117
Contract,YOUNG PLANT SALES LTD,YOUNG PLANT HIRE LTD,11934785
Contract,ISUZU TRUCK (UK) LTD,ISUZU TRUCK (UK) LIMITED,04953827
Contract,FORTRESS SECURITY ALARMS LTD,FORTRESS SECURITY ALARMS LTD.,SC179153
Contract,THE DOUBLE A TRADING COMPANY LTD,THE DOUBLE A TRADING COMPANY LIMITED,SC205889
Contract,JAMES A. CUTHBERTSON LIMITED,"JAMES A. CUTHBERTSON, LIMITED",SC024322
Contract,CONSTANCE CARE,CONSTANCE CARE LIMITED,SC179686
Contract,HAMILTON BROS ENG LTD,HAMILTON BROS. (ENGINEERING) LIMITED,SC069174
Contract,O&H VEHICLE CONVERSIONS,VENARI O&H LIMITED,02266138
Contract,C P DAVIDSON & SONS LTD,C.P. DAVIDSON & SONS LIMITED,02590166
Contract,DENNIS EAGLE,DENNIS EAGLE LIMITED,03794455
Contract,ROMAQUIP LTD,ROMAQUIP UK,FC029368
Contract,INDESPENSION LTD,INDESPENSION LTD,02125263
Contract,AEBI SCHMIDT UK LTD,AEBI SCHMIDT UK LIMITED,00557725
Contract,FAIRWAYS GM LTD,FAIRWAYS (GM) LTD.,SC263116
Contract,BRYSON TRACTORS LTD,BRYSON TRACTORS LIMITED,SC235088
Contract,WHALE TANKERS LIMITED,WHALE TANKERS LIMITED,04251423
Contract,CERA CARE OPERATIONS SCOTLAND LTD,CERA CARE OPERATIONS (SCOTLAND) LIMITED,SC136871
Contract,NATIONAL SIGN COMPANY,NATIONAL SIGNS LIMITED,04716586
Contract,SCOT JCB LTD,SCOT J C B LIMITED,SC051692
Contract,WORKING ON WELLBEING LTD TRADING AS OPTIMA HEALTH,WORKING ON WELLBEING LTD,08544676
Contract,HARPER MACLEOD LLP,HARPER MACLEOD LLP,SO300331
Contract,PEEPLE,PEEPLE,07514469
Contract,INCLUDEM,INCLUDEM,SC207985
Contract,G4S MONITORING TECHNOLGIES LTD,G4S MONITORING TECHNOLOGIES LIMITED,02626613
Contract,55 NORTH NETWORK,55 NORTH NETWORK LIMITED,SC345212
Contract,CHILDREN IN SCOTLAND,CHILDREN IN SCOTLAND LTD,SC083383
Contract,CMS CMERON MCKENNA,CAMERON MCKENNA LIMITED,03271393
Contract,MORTON FRASER LLP,MORTON FRASER LLP,SO300472
Contract,MACROBERTS LLP,MACROBERTS LLP,SO301699
Contract,SOFTCAT LTD,SOFTCAT PLC,02174990
Contract,EDMUNDSON ELECTRICAL LTD,EDMUNDSON ELECTRICAL LIMITED,02667012
Contract,SYTEC,SYTEC LIMITED,09798990
