buyer_name_clean,ocid,level1,sic_code,sic_string,start_date,end_date,co2_pm
CHICAGO DEPARTMENT OF TRANSPORTATION,ocds-0c46vo-0517-86957,,71122,Engineering related scientific and technical consulting activities,1999-05-06,2023-01-15,0.18421726998300866
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-127000,,71122,Engineering related scientific and technical consulting activities,2008-11-19,2023-11-18,4.109614387438379
OFFICE OF BUDGET & MANAGEMENT,ocds-0c46vo-0517-71424,,85100,Pre,2010-07-28,2026-12-31,0.05609738901819
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-82310,,42220,Construction of utility projects for electricity and telecommunications,2013-02-20,2030-12-31,34.389569599877355
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-102551,,52219,"Other service activities incidental to land transportation, n.e.c.",2014-01-01,2023-12-31,1.249658997534922
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-75922,,43110,Demolition,2015-03-25,2025-03-25,0.15404022721051192
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-67793,,55100,Hotels and similar accommodation,2015-10-15,2042-12-31,0.7691217135164503
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-84577,,82301,Activities of exhibition and fair organisers,2016-03-18,2041-12-31,0.19375751141310116
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-84653,,70229,Management consultancy activities other than financial management,2016-03-18,2041-12-31,0.21668548359698478
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-115455,,49100,"Passenger rail transport, interurban",2016-11-30,2053-12-31,670.4473940199335
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-128024,,49320,Taxi operation,2016-11-30,2025-12-31,30.80172151898734
CHICAGO DEPARTMENT OF TRANSPORTATION,ocds-0c46vo-0517-63316,,71122,Engineering related scientific and technical consulting activities,2017-01-05,2024-01-05,0.003094030516431925
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-61039,,71122,Engineering related scientific and technical consulting activities,2017-03-17,2042-12-31,0.16144745222929938
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-77862,,43290,Other construction installation,2017-03-31,2042-12-31,1.685489722756751
DEPARTMENT OF WATER MANAGEMENT,ocds-0c46vo-0517-38699,,71122,Engineering related scientific and technical consulting activities,2017-04-10,2027-04-09,0.6664847986852916
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-64477,,42220,Construction of utility projects for electricity and telecommunications,2017-04-19,2042-12-31,2.349217801214446
DEPT OF AVIATION,ocds-0c46vo-0517-55177,,27900,Manufacture of other electrical equipment,2017-05-01,2028-11-30,0.9466856145424369
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-60358,,43290,Other construction installation,2017-05-01,2022-05-01,0.5413706188389923
CHICAGO DEPARTMENT OF TRANSPORTATION,ocds-0c46vo-0517-52685,,62020,Information technology consultancy activities,2017-05-09,2022-05-08,16.500018082191783
DEPARTMENT OF FINANCE,ocds-0c46vo-0517-57170,,30920,Manufacture of bicycles and invalid carriages,2017-05-23,2022-05-22,0.1666668493150685
DEPT OF AVIATION,ocds-0c46vo-0517-54698,,43999,Other specialised construction activities n.e.c.,2017-05-30,2022-05-29,41.666712328767126
DEPARTMENT OF FINANCE,ocds-0c46vo-0517-47438,,70229,Management consultancy activities other than financial management,2017-06-01,2022-05-31,1.1333345753424657
OFFICE OF BUDGET & MANAGEMENT,ocds-0c46vo-0517-61348,,71122,Engineering related scientific and technical consulting activities,2017-06-01,2022-05-31,0.5833339726027398
DEPT OF AVIATION,ocds-0c46vo-0517-58539,,27900,Manufacture of other electrical equipment,2017-06-20,2022-06-19,21.98706159538356
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-64307,,43290,Other construction installation,2017-06-26,2042-12-31,1.5611414522266338
CHICAGO DEPARTMENT OF TRANSPORTATION,ocds-0c46vo-0517-37875,,71122,Engineering related scientific and technical consulting activities,2017-06-28,2022-06-27,0.07390515432519452
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-61460,,68209,Other letting and operating of own or leased real estate,2017-06-29,2042-12-31,0.1632497853155861
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-61462,,43290,Other construction installation,2017-06-29,2042-12-31,0.6203491841992271
DEPARTMENT OF FINANCE,ocds-0c46vo-0517-54559,,71122,Engineering related scientific and technical consulting activities,2017-06-30,2022-07-01,0.10155548440065681
DEPT OF STREETS & SANITATION,ocds-0c46vo-0517-59018,,32500,Manufacture of medical and dental instruments and supplies,2017-07-07,2022-07-06,0.03000003287671233
DEPT OF STREETS & SANITATION,ocds-0c46vo-0517-55610,,28922,Manufacture of earthmoving equipment,2017-07-13,2022-07-12,2.114002316712329
CHICAGO PUBLIC LIBRARY,ocds-0c46vo-0517-59550,,26200,Manufacture of computers and peripheral equipment,2017-07-17,2022-07-16,0.09436210341041096
DEPARTMENT OF WATER MANAGEMENT,ocds-0c46vo-0517-58996,,20590,Manufacture of other chemical products n.e.c.,2017-07-21,2022-07-20,6.398607012164383
DEPT OF AVIATION,ocds-0c46vo-0517-60151,,23420,Manufacture of ceramic sanitary fixtures,2017-07-24,2022-07-23,53.78922294702904
DEPARTMENT OF WATER MANAGEMENT,ocds-0c46vo-0517-60210,,25730,Manufacture of tools,2017-07-24,2022-07-23,0.9856135801232877
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-53096,,72190,Other research and experimental development on natural sciences and engineering,2017-08-01,2022-07-31,0.2849003122191781
DEPT OF AVIATION,ocds-0c46vo-0517-59353,,38210,Treatment and disposal of non,2017-08-01,2022-07-31,72.89046721320986
DEPARTMENT OF CULTURAL AFFAIRS,ocds-0c46vo-0517-66161,,84110,General public administration activities,2017-08-04,2022-08-04,1.4158923877327492
DEPT OF AVIATION,ocds-0c46vo-0517-56283,,27900,Manufacture of other electrical equipment,2017-08-07,2029-08-06,7.992450856484425
OFFICE OF BUDGET & MANAGEMENT,ocds-0c46vo-0517-63202,,85590,Other education n.e.c.,2017-08-18,2024-12-31,0.25766187690824666
OFFICE OF BUDGET & MANAGEMENT,ocds-0c46vo-0517-63203,,85590,Other education n.e.c.,2017-08-18,2024-12-31,0.3671253883985884
OFFICE OF BUDGET & MANAGEMENT,ocds-0c46vo-0517-63206,,84110,General public administration activities,2017-08-18,2022-12-31,0.6204324324324324
DEPARTMENT OF WATER MANAGEMENT,ocds-0c46vo-0517-62176,,25290,"Manufacture of other tanks, reservoirs and containers of metal",2017-08-22,2022-08-21,2.4100678861673916
DEPT OF AVIATION,ocds-0c46vo-0517-62053,,43220,"Plumbing, heat and air",2017-08-23,2022-08-22,3.8083527068659726
DEPT OF AVIATION,ocds-0c46vo-0517-63398,,27900,Manufacture of other electrical equipment,2017-08-29,2022-08-28,48.19195643804507
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-61417,,29100,Manufacture of motor vehicles,2017-08-30,2022-08-29,18.783912585087123
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-61711,,29100,Manufacture of motor vehicles,2017-09-06,2022-09-05,4.577918483558137
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-72263,,43290,Other construction installation,2017-09-07,2042-12-31,1.1683414364763143
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-72693,,43290,Other construction installation,2017-09-07,2042-12-31,1.3487829331602856
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-69407,,43110,Demolition,2017-09-15,2042-12-31,0.5725362637573068
FIRE DEPARTMENT,ocds-0c46vo-0517-63022,,14190,Manufacture of other wearing apparel and accessories n.e.c.,2017-09-15,2022-09-14,0.8963514823019179
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-61858,,29202,Manufacture of trailers and semi,2017-09-18,2022-09-17,1.0300998488753097
DEPT OF AVIATION,ocds-0c46vo-0517-63417,,33190,Repair of other equipment,2017-10-01,2022-09-30,7.860366947424658
DEPT OF AVIATION,ocds-0c46vo-0517-61840,,25730,Manufacture of tools,2017-10-23,2022-10-22,35.06831843099178
DEPT OF AVIATION,ocds-0c46vo-0517-63621,,42220,Construction of utility projects for electricity and telecommunications,2017-11-01,2022-10-31,6.466673753424658
DEPT OF AVIATION,ocds-0c46vo-0517-63622,,42220,Construction of utility projects for electricity and telecommunications,2017-11-01,2022-10-31,7.848341934246575
DEPT OF AVIATION,ocds-0c46vo-0517-64607,,43910,Roofing activities,2017-11-15,2022-11-14,19.96205187619726
DEPT OF AVIATION,ocds-0c46vo-0517-68140,,71122,Engineering related scientific and technical consulting activities,2017-11-28,2022-11-27,2.8333364383561643
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-90027,,70229,Management consultancy activities other than financial management,2017-12-07,2049-12-31,0.32982589651639344
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-60672,,68320,Management of real estate on a fee or contract basis,2017-12-08,2022-12-07,13.460776084852602
CITY CLERK,ocds-0c46vo-0517-68650,,62020,Information technology consultancy activities,2017-12-12,2022-12-11,0.2789503056986301
