releasedate,aw_contractperiod_startdate,aw_contractperiod_enddate,buyer,buyer_matched_name,level1,ocid,aw_supplier_name,aw_value,aw_total_suppliers,aw_value_currency
2018-01-31 00:00:00+00,,,The Cabinet Office,,,ocds-0c46vo-0353-JAN234950,BT Openreach Plc,550000.0,1,GBP
2019-01-21 10:15:34+00,2019-01-18 00:00:00+00,2020-01-17 00:00:00+00,Government Digital Service : Cabinet Office,,,ocds-0c46vo-0001-70797f2d-8141-4328-8ec4-80f2770d0aff,PLURALSIGHT EUROPE LIMITED,136108,1,GBP
2019-06-10 00:00:00+00,,,The Cabinet Office,,,ocds-0c46vo-0353-JUN297675,Rare Recruiment Ltd,450000.0,1,GBP
2018-11-21 17:36:32+00,2018-11-01 00:00:00+00,2020-03-31 00:00:00+00,Cabinet Office : Cabinet Office,,,ocds-0c46vo-0001-51451250-d39e-4d44-b7c3-a41360e9309c,HCM SOLUTIONS LIMITED,900000,1,GBP
2018-12-18 11:46:25+00,2018-09-14 00:00:00+00,2019-01-31 00:00:00+00,Cabinet Office : Cabinet Office,,,ocds-0c46vo-0001-29596d56-2604-4e6b-9c27-54ee30b628e2,Deloitte LLP,98400,1,GBP
2017-08-09 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-313194-2017,Please refer to URL below for details of successful Suppliers who have been awarded a Framework Agreement subject to signature.,1000000000.0,1,GBP
2017-08-09 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-313194-2017,"Please refer to URL below for details of successful Suppliers who have been awarded a Framework Agreement, subject to signature.",150000000.0,1,GBP
2017-08-09 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-313194-2017,"Please refer to URL below for details of successful Suppliers who have been awarded a Framework Agreement, subject to signature.",50000000.0,1,GBP
2017-08-09 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-313194-2017,"Please refer to URL below for details of successful Suppliers who have been awarded a Framework Agreement, subject to signature",50000000.0,1,GBP
2017-08-09 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-313194-2017,"Please refer to URL below for details of successful Suppliers who have been awarded a Framework Agreement, subject to signature.",250000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,Anexsys Limited,13000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,UnitedLex Limited,13000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,WordWave International Ltd (trading as DTI),13000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,A List of all the Successful Suppliers can be found here: https://www.contractsfinder.service.gov.uk/Notice/5e8f496b-e42b-439f-8203-caa1416a8851,13000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,Anexsys Limited,13000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,Anexysys Limited,13000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,Anexsys Limited,13000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,Anexsys Limited,13000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,Anexsys Limited,13000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,Anexsys Limited,13000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,Badenoch & Clark Ltd,13000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,Badenoch & Clark Ltd,13000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,CCL — Forensics Ltd,13000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,CCL-Forensics Ltd,13000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,KPMG LLP,13000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,KPMG LLP,13000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,KPMG LLP,13000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,KPMG LLP,13000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,KPMG LLP,13000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,KPMG LLP,13000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,KPMG LLP,13000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,Legastat Ltd,13000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,CCL-Forensics Ltd,13000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,Legastat Ltd,13000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,Legastat Ltd,13000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,Legastat Ltd,13000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,PA Consulting Services Limited,13000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,PA Consulting Services Limited,13000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,PA Consulting Services,13000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,UNIFIED OS LTD,13000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,UNIFIED OS LTD,13000000.0,1,GBP
2017-06-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-240535-2017,UNIFIED OS LTD,13000000.0,1,GBP
