releasedate,aw_contractperiod_startdate,aw_contractperiod_enddate,buyer,buyer_matched_name,level1,ocid,aw_supplier_name,aw_value,aw_total_suppliers,aw_value_currency
2019-06-19 00:00:00+00,,,Scottish Government,SCOTTISH GOVERNMENT,Devolved Government,ocds-0c46vo-0353-JUN357624,Deloitte,1897830.0,1,GBP
2019-06-19 00:00:00+00,,,Scottish Government,SCOTTISH GOVERNMENT,Devolved Government,ocds-0c46vo-0353-JUN357624,Deloitte,1897830.0,1,GBP
2019-06-19 00:00:00+00,,,Scottish Government,SCOTTISH GOVERNMENT,Devolved Government,ocds-0c46vo-0353-JUN357624,Deloitte,1897830.0,1,GBP
2019-06-19 00:00:00+00,,,Scottish Government,SCOTTISH GOVERNMENT,Devolved Government,ocds-0c46vo-0353-JUN357624,Deloitte,1897830.0,1,GBP
2019-06-19 00:00:00+00,,,Scottish Government,SCOTTISH GOVERNMENT,Devolved Government,ocds-0c46vo-0353-JUN357624,Deloitte,1897830.0,1,GBP
2019-06-19 00:00:00+00,,,Scottish Government,SCOTTISH GOVERNMENT,Devolved Government,ocds-0c46vo-0353-JUN357624,Deloitte,1897830.0,1,GBP
2019-06-19 00:00:00+00,,,Scottish Government,SCOTTISH GOVERNMENT,Devolved Government,ocds-0c46vo-0353-JUN357624,Deloitte,1897830.0,1,GBP
2019-06-19 00:00:00+00,,,Scottish Government,SCOTTISH GOVERNMENT,Devolved Government,ocds-0c46vo-0353-JUN357624,Deloitte,1897830.0,1,GBP
2019-06-19 00:00:00+00,,,Scottish Government,SCOTTISH GOVERNMENT,Devolved Government,ocds-0c46vo-0353-JUN357624,Deloitte,1897830.0,1,GBP
2019-06-19 00:00:00+00,,,Scottish Government,SCOTTISH GOVERNMENT,Devolved Government,ocds-0c46vo-0353-JUN357624,Deloitte,1897830.0,1,GBP
2019-06-19 00:00:00+00,,,Scottish Government,SCOTTISH GOVERNMENT,Devolved Government,ocds-0c46vo-0353-JUN357624,Deloitte,1897830.0,1,GBP
