id,source,source_id,ocid,language,title,description,value,currency,releasedate,startdate,enddate,buyer,streetaddress,locality,region,postcode,countryname,contactname,email,telephone,faxnumber,contact_url,tender_url,cpvs,date_created,date_updated,json,pubdate
109348013,td_eperolehan_my,QT180000000008211,ocds-0c46vo-0348-QT180000000008211,my,"MEMBEKAL, MENGHANTAR, MENGUJI DAN MENGUJITERIMA 2 BUAH LORI RIGID BARU YANG DIPASANG DENGAN TANGKI SUSU PADA CHASIS BAGI MEMBAWA MUATAN SUSU 6000 LITER (1 BUAH) DAN 9000 LITER (1 BUAH) UNTUK JABATAN PERKHIDMATAN VETERINAR",,,,2018-05-09 12:00:00+00,2018-05-09 12:00:00+00,2018-09-26 12:00:00+00,BAHAGIAN KHIDMAT PENGURUSAN JABATAN PERKHIDMATAN VETERINAR,,,,,Malaysia,,,,,,https://ngeptrg.eperolehan.gov.my/quotation-tender-notice,"",2019-04-13 02:07:54.090890,2020-02-20 11:48:08.516664+00,"{""uri"": ""https://openopps.com/tenders/ocds-0c46vo-0348-QT180000000008211/?format=json"", ""license"": ""https://opendatacommons.org/licenses/odbl/"", ""releases"": [{""id"": ""QT180000000008211"", ""tag"": [""tender""], ""date"": ""2018-05-09T12:00:00+00:00"", ""ocid"": ""ocds-0c46vo-0348-QT180000000008211"", ""buyer"": {""name"": ""BAHAGIAN KHIDMAT PENGURUSAN JABATAN PERKHIDMATAN VETERINAR"", ""address"": {""countryName"": ""Malaysia""}}, ""tender"": {""id"": ""QT180000000008211"", ""title"": ""MEMBEKAL, MENGHANTAR, MENGUJI DAN MENGUJITERIMA 2 BUAH LORI RIGID BARU YANG DIPASANG DENGAN TANGKI SUSU PADA CHASIS BAGI MEMBAWA MUATAN SUSU 6000 LITER (1 BUAH) DAN 9000 LITER (1 BUAH) UNTUK JABATAN PERKHIDMATAN VETERINAR"", ""status"": ""complete"", ""documents"": [{""id"": ""tender_url"", ""url"": ""https://ngeptrg.eperolehan.gov.my/quotation-tender-notice"", ""format"": ""text/html"", ""language"": ""en"", ""documentType"": ""tenderNotice""}], ""tenderPeriod"": {""endDate"": ""2018-09-26T12:00:00+00:00"", ""startDate"": ""2018-05-09T12:00:00+00:00""}, ""procurementMethod"": ""open""}, ""language"": ""my"", ""initiationType"": ""tender""}], ""publisher"": {""uid"": ""https://beta.companieshouse.gov.uk/company/04962733"", ""uri"": ""https://openopps.com"", ""name"": ""Open Opps"", ""scheme"": ""Companies House""}, ""publishedDate"": ""2020-02-20T11:48:06.453699+00:00"", ""publicationPolicy"": ""https://openopps.com/legal/""}",2018-05-09 12:00:00+00
109348012,td_eperolehan_my,QT180000000008660,ocds-0c46vo-0348-QT180000000008660,my,MEMBEKAL RANGSUM PENERBANGAN BIASA TUDM UNTUK KTU ALOR SETAR,,,,2018-05-09 12:00:00+00,2018-05-09 12:00:00+00,2018-09-26 12:00:00+00,BAHAGIAN PEROLEHAN,,,,,Malaysia,,,,,,https://ngeptrg.eperolehan.gov.my/quotation-tender-notice,"",2019-04-13 02:07:54.086027,2020-02-20 11:48:08.510048+00,"{""uri"": ""https://openopps.com/tenders/ocds-0c46vo-0348-QT180000000008660/?format=json"", ""license"": ""https://opendatacommons.org/licenses/odbl/"", ""releases"": [{""id"": ""QT180000000008660"", ""tag"": [""tender""], ""date"": ""2018-05-09T12:00:00+00:00"", ""ocid"": ""ocds-0c46vo-0348-QT180000000008660"", ""buyer"": {""name"": ""BAHAGIAN PEROLEHAN"", ""address"": {""countryName"": ""Malaysia""}}, ""tender"": {""id"": ""QT180000000008660"", ""title"": ""MEMBEKAL RANGSUM PENERBANGAN BIASA TUDM UNTUK KTU ALOR SETAR"", ""status"": ""complete"", ""documents"": [{""id"": ""tender_url"", ""url"": ""https://ngeptrg.eperolehan.gov.my/quotation-tender-notice"", ""format"": ""text/html"", ""language"": ""en"", ""documentType"": ""tenderNotice""}], ""tenderPeriod"": {""endDate"": ""2018-09-26T12:00:00+00:00"", ""startDate"": ""2018-05-09T12:00:00+00:00""}, ""procurementMethod"": ""open""}, ""language"": ""my"", ""initiationType"": ""tender""}], ""publisher"": {""uid"": ""https://beta.companieshouse.gov.uk/company/04962733"", ""uri"": ""https://openopps.com"", ""name"": ""Open Opps"", ""scheme"": ""Companies House""}, ""publishedDate"": ""2020-02-20T11:48:06.384414+00:00"", ""publicationPolicy"": ""https://openopps.com/legal/""}",2018-05-09 12:00:00+00
109348011,td_eperolehan_my,QT180000000009611,ocds-0c46vo-0348-QT180000000009611,my,MEMBEKAL DAN MENGHANTAR MINYAK PELINCIR DAN GRIS JENIS TEMPATAN,,,,2018-05-09 12:00:00+00,2018-05-09 12:00:00+00,2018-08-09 12:00:00+00,KEJURUTERAAN PERTANIAN SERDANG,,SELANGOR,,,Malaysia,,,,,,https://ngeptrg.eperolehan.gov.my/quotation-tender-notice,"",2019-04-13 02:07:54.081859,2020-02-20 11:48:06.270909+00,"{""uri"": ""https://openopps.com/tenders/ocds-0c46vo-0348-QT180000000009611/?format=json"", ""license"": ""https://opendatacommons.org/licenses/odbl/"", ""releases"": [{""id"": ""QT180000000009611"", ""tag"": [""tender""], ""date"": ""2018-05-09T12:00:00+00:00"", ""ocid"": ""ocds-0c46vo-0348-QT180000000009611"", ""buyer"": {""name"": ""KEJURUTERAAN PERTANIAN SERDANG"", ""address"": {""locality"": ""SELANGOR"", ""countryName"": ""Malaysia""}}, ""tender"": {""id"": ""QT180000000009611"", ""title"": ""MEMBEKAL DAN MENGHANTAR MINYAK PELINCIR DAN GRIS JENIS TEMPATAN"", ""status"": ""complete"", ""documents"": [{""id"": ""tender_url"", ""url"": ""https://ngeptrg.eperolehan.gov.my/quotation-tender-notice"", ""format"": ""text/html"", ""language"": ""en"", ""documentType"": ""tenderNotice""}], ""tenderPeriod"": {""endDate"": ""2018-08-09T12:00:00+00:00"", ""startDate"": ""2018-05-09T12:00:00+00:00""}, ""procurementMethod"": ""open""}, ""language"": ""my"", ""initiationType"": ""tender""}], ""publisher"": {""uid"": ""https://beta.companieshouse.gov.uk/company/04962733"", ""uri"": ""https://openopps.com"", ""name"": ""Open Opps"", ""scheme"": ""Companies House""}, ""publishedDate"": ""2020-02-20T11:48:00.424383+00:00"", ""publicationPolicy"": ""https://openopps.com/legal/""}",2018-05-09 12:00:00+00
109348010,td_eperolehan_my,QT180000000011326,ocds-0c46vo-0348-QT180000000011326,my,"TAWARAN SEBUT HARGA REAGEN DAN KONSUMABEL DENGAN ""INSTRUMENT PLACEMENT"" UNTUK UJIAN KOAGULASI DI UNIT PATOLOGI, HOSPITAL BANTING",,,,2018-05-09 12:00:00+00,2018-05-09 12:00:00+00,2018-12-09 12:00:00+00,JKN SELANGOR HOSPITAL BANTING UNIT PENTADBIRAN/ KEWANGAN/PENGURUSAN,,SELANGOR,,,Malaysia,,,,,,https://ngeptrg.eperolehan.gov.my/quotation-tender-notice,"",2019-04-13 02:07:54.076870,2020-02-20 11:48:06.263561+00,"{""uri"": ""https://openopps.com/tenders/ocds-0c46vo-0348-QT180000000011326/?format=json"", ""license"": ""https://opendatacommons.org/licenses/odbl/"", ""releases"": [{""id"": ""QT180000000011326"", ""tag"": [""tender""], ""date"": ""2018-05-09T12:00:00+00:00"", ""ocid"": ""ocds-0c46vo-0348-QT180000000011326"", ""buyer"": {""name"": ""JKN SELANGOR HOSPITAL BANTING UNIT PENTADBIRAN/ KEWANGAN/PENGURUSAN"", ""address"": {""locality"": ""SELANGOR"", ""countryName"": ""Malaysia""}}, ""tender"": {""id"": ""QT180000000011326"", ""title"": ""TAWARAN SEBUT HARGA REAGEN DAN KONSUMABEL DENGAN \""INSTRUMENT PLACEMENT\"" UNTUK UJIAN KOAGULASI DI UNIT PATOLOGI, HOSPITAL BANTING"", ""status"": ""complete"", ""documents"": [{""id"": ""tender_url"", ""url"": ""https://ngeptrg.eperolehan.gov.my/quotation-tender-notice"", ""format"": ""text/html"", ""language"": ""en"", ""documentType"": ""tenderNotice""}], ""tenderPeriod"": {""endDate"": ""2018-12-09T12:00:00+00:00"", ""startDate"": ""2018-05-09T12:00:00+00:00""}, ""procurementMethod"": ""open""}, ""language"": ""my"", ""initiationType"": ""tender""}], ""publisher"": {""uid"": ""https://beta.companieshouse.gov.uk/company/04962733"", ""uri"": ""https://openopps.com"", ""name"": ""Open Opps"", ""scheme"": ""Companies House""}, ""publishedDate"": ""2020-02-20T11:48:00.372473+00:00"", ""publicationPolicy"": ""https://openopps.com/legal/""}",2018-05-09 12:00:00+00
109348009,td_eperolehan_my,QT180000000011828,ocds-0c46vo-0348-QT180000000011828,my,"Sebut Harga Bagi Perkhidmatan Penyelenggaraan Alat Penyaman Udara Di Pejabat Meteorologi Pulau Pinang, Pejabat Meteorologi Bayan Lepas, Unit Udara Atas Bayan Lepas Dan Pejabat Meteorologi Seberang Perai Untuk Tempoh Dua (2) Tahun",,,,2018-05-09 12:00:00+00,2018-05-09 12:00:00+00,2018-09-16 12:00:00+00,JABATAN METEOROLOGI MALAYSIA (IBU PEJABAT),,PULAU PINANG,,,Malaysia,,,,,,https://ngeptrg.eperolehan.gov.my/quotation-tender-notice,"",2019-04-13 02:07:54.072393,2020-02-20 11:48:06.25569+00,"{""uri"": ""https://openopps.com/tenders/ocds-0c46vo-0348-QT180000000011828/?format=json"", ""license"": ""https://opendatacommons.org/licenses/odbl/"", ""releases"": [{""id"": ""QT180000000011828"", ""tag"": [""tender""], ""date"": ""2018-05-09T12:00:00+00:00"", ""ocid"": ""ocds-0c46vo-0348-QT180000000011828"", ""buyer"": {""name"": ""JABATAN METEOROLOGI MALAYSIA (IBU PEJABAT)"", ""address"": {""locality"": ""PULAU PINANG"", ""countryName"": ""Malaysia""}}, ""tender"": {""id"": ""QT180000000011828"", ""title"": ""Sebut Harga Bagi Perkhidmatan Penyelenggaraan Alat Penyaman Udara Di Pejabat Meteorologi Pulau Pinang, Pejabat Meteorologi Bayan Lepas, Unit Udara Atas Bayan Lepas Dan Pejabat Meteorologi Seberang Perai Untuk Tempoh Dua (2) Tahun"", ""status"": ""complete"", ""documents"": [{""id"": ""tender_url"", ""url"": ""https://ngeptrg.eperolehan.gov.my/quotation-tender-notice"", ""format"": ""text/html"", ""language"": ""en"", ""documentType"": ""tenderNotice""}], ""tenderPeriod"": {""endDate"": ""2018-09-16T12:00:00+00:00"", ""startDate"": ""2018-05-09T12:00:00+00:00""}, ""procurementMethod"": ""open""}, ""language"": ""my"", ""initiationType"": ""tender""}], ""publisher"": {""uid"": ""https://beta.companieshouse.gov.uk/company/04962733"", ""uri"": ""https://openopps.com"", ""name"": ""Open Opps"", ""scheme"": ""Companies House""}, ""publishedDate"": ""2020-02-20T11:48:00.321442+00:00"", ""publicationPolicy"": ""https://openopps.com/legal/""}",2018-05-09 12:00:00+00
109348008,td_eperolehan_my,QT180000000012654,ocds-0c46vo-0348-QT180000000012654,my,PERKHIDMATAN "11 SEATER ELECTRIC BUGGY" UNTUK KEGUNAAN DI MUZIUM DIRAJA,,,,2018-05-09 12:00:00+00,2018-05-09 12:00:00+00,2018-10-09 12:00:00+00,JABATAN MUZIUM MALAYSIA,,SELANGOR,,,Malaysia,,,,,,https://ngeptrg.eperolehan.gov.my/quotation-tender-notice,"",2019-04-13 02:07:54.067099,2020-02-20 11:48:06.246373+00,"{""uri"": ""https://openopps.com/tenders/ocds-0c46vo-0348-QT180000000012654/?format=json"", ""license"": ""https://opendatacommons.org/licenses/odbl/"", ""releases"": [{""id"": ""QT180000000012654"", ""tag"": [""tender""], ""date"": ""2018-05-09T12:00:00+00:00"", ""ocid"": ""ocds-0c46vo-0348-QT180000000012654"", ""buyer"": {""name"": ""JABATAN MUZIUM MALAYSIA"", ""address"": {""locality"": ""SELANGOR"", ""countryName"": ""Malaysia""}}, ""tender"": {""id"": ""QT180000000012654"", ""title"": ""PERKHIDMATAN \""11 SEATER ELECTRIC BUGGY\"" UNTUK KEGUNAAN DI MUZIUM DIRAJA"", ""status"": ""complete"", ""documents"": [{""id"": ""tender_url"", ""url"": ""https://ngeptrg.eperolehan.gov.my/quotation-tender-notice"", ""format"": ""text/html"", ""language"": ""en"", ""documentType"": ""tenderNotice""}], ""tenderPeriod"": {""endDate"": ""2018-10-09T12:00:00+00:00"", ""startDate"": ""2018-05-09T12:00:00+00:00""}, ""procurementMethod"": ""open""}, ""language"": ""my"", ""initiationType"": ""tender""}], ""publisher"": {""uid"": ""https://beta.companieshouse.gov.uk/company/04962733"", ""uri"": ""https://openopps.com"", ""name"": ""Open Opps"", ""scheme"": ""Companies House""}, ""publishedDate"": ""2020-02-20T11:48:00.268046+00:00"", ""publicationPolicy"": ""https://openopps.com/legal/""}",2018-05-09 12:00:00+00
109348014,td_eperolehan_my,QT180000000020672,ocds-0c46vo-0348-QT180000000020672,my,Perkhidmatan Kawalan Keselamatan (Tanpa Senjata) 2,,,,2018-10-17 12:00:00+00,2018-10-17 12:00:00+00,2018-10-25 12:00:00+00,BAHAGIAN PENTADBIRAN - CAWANGAN KEWANGAN - KEMENTERIAN KEWANGAN,,JOHOR,,,Malaysia,,,,,,https://ngeptrg.eperolehan.gov.my/quotation-tender-notice,"",2019-04-13 02:07:54.094936,2020-02-20 11:48:08.520977+00,"{""uri"": ""https://openopps.com/tenders/ocds-0c46vo-0348-QT180000000020672/?format=json"", ""license"": ""https://opendatacommons.org/licenses/odbl/"", ""releases"": [{""id"": ""QT180000000020672"", ""tag"": [""tender""], ""date"": ""2018-10-17T12:00:00+00:00"", ""ocid"": ""ocds-0c46vo-0348-QT180000000020672"", ""buyer"": {""name"": ""BAHAGIAN PENTADBIRAN - CAWANGAN KEWANGAN - KEMENTERIAN KEWANGAN"", ""address"": {""locality"": ""JOHOR"", ""countryName"": ""Malaysia""}}, ""tender"": {""id"": ""QT180000000020672"", ""title"": ""Perkhidmatan Kawalan Keselamatan (Tanpa Senjata) 2"", ""status"": ""complete"", ""documents"": [{""id"": ""tender_url"", ""url"": ""https://ngeptrg.eperolehan.gov.my/quotation-tender-notice"", ""format"": ""text/html"", ""language"": ""en"", ""documentType"": ""tenderNotice""}], ""tenderPeriod"": {""endDate"": ""2018-10-25T12:00:00+00:00"", ""startDate"": ""2018-10-17T12:00:00+00:00""}, ""procurementMethod"": ""open""}, ""language"": ""my"", ""initiationType"": ""tender""}], ""publisher"": {""uid"": ""https://beta.companieshouse.gov.uk/company/04962733"", ""uri"": ""https://openopps.com"", ""name"": ""Open Opps"", ""scheme"": ""Companies House""}, ""publishedDate"": ""2020-02-20T11:48:06.539839+00:00"", ""publicationPolicy"": ""https://openopps.com/legal/""}",2018-10-17 12:00:00+00
109348015,td_eperolehan_my,QT180000000020681,ocds-0c46vo-0348-QT180000000020681,my,Perkhidmatan Membekal Dan Menghantar Pelbagai Jenis Toner Bagi Mesin Pencetak Serta Faks,,,,2018-11-15 12:00:00+00,2018-11-15 12:00:00+00,2018-07-12 12:00:00+00,BAHAGIAN PENTADBIRAN - CAWANGAN KEWANGAN - KEMENTERIAN KEWANGAN,,,,,Malaysia,,,,,,https://ngeptrg.eperolehan.gov.my/quotation-tender-notice,"",2019-04-13 02:07:54.098903,2020-02-20 11:48:08.528746+00,"{""uri"": ""https://openopps.com/tenders/ocds-0c46vo-0348-QT180000000020681/?format=json"", ""license"": ""https://opendatacommons.org/licenses/odbl/"", ""releases"": [{""id"": ""QT180000000020681"", ""tag"": [""tender""], ""date"": ""2018-11-15T12:00:00+00:00"", ""ocid"": ""ocds-0c46vo-0348-QT180000000020681"", ""buyer"": {""name"": ""BAHAGIAN PENTADBIRAN - CAWANGAN KEWANGAN - KEMENTERIAN KEWANGAN"", ""address"": {""countryName"": ""Malaysia""}}, ""tender"": {""id"": ""QT180000000020681"", ""title"": ""Perkhidmatan Membekal Dan Menghantar Pelbagai Jenis Toner Bagi Mesin Pencetak Serta Faks"", ""status"": ""complete"", ""documents"": [{""id"": ""tender_url"", ""url"": ""https://ngeptrg.eperolehan.gov.my/quotation-tender-notice"", ""format"": ""text/html"", ""language"": ""en"", ""documentType"": ""tenderNotice""}], ""tenderPeriod"": {""endDate"": ""2018-07-12T12:00:00+00:00"", ""startDate"": ""2018-11-15T12:00:00+00:00""}, ""procurementMethod"": ""open""}, ""language"": ""my"", ""initiationType"": ""tender""}], ""publisher"": {""uid"": ""https://beta.companieshouse.gov.uk/company/04962733"", ""uri"": ""https://openopps.com"", ""name"": ""Open Opps"", ""scheme"": ""Companies House""}, ""publishedDate"": ""2020-02-20T11:48:06.625497+00:00"", ""publicationPolicy"": ""https://openopps.com/legal/""}",2018-11-15 12:00:00+00
109348016,td_eperolehan_my,QT190000000020713,ocds-0c46vo-0348-QT190000000020713,my,PERKHIDMATAN KEBERSIHAN KAWASAN 2019,,,,2019-01-26 12:00:00+00,2019-01-26 12:00:00+00,2019-01-30 12:00:00+00,KETUA POLIS DAERAH SEREMBAN,,JOHOR,,,Malaysia,,,,,,https://ngeptrg.eperolehan.gov.my/quotation-tender-notice,"",2019-04-13 02:07:54.103458,2020-02-20 11:48:08.535268+00,"{""uri"": ""https://openopps.com/tenders/ocds-0c46vo-0348-QT190000000020713/?format=json"", ""license"": ""https://opendatacommons.org/licenses/odbl/"", ""releases"": [{""id"": ""QT190000000020713"", ""tag"": [""tender""], ""date"": ""2019-01-26T12:00:00+00:00"", ""ocid"": ""ocds-0c46vo-0348-QT190000000020713"", ""buyer"": {""name"": ""KETUA POLIS DAERAH SEREMBAN"", ""address"": {""locality"": ""JOHOR"", ""countryName"": ""Malaysia""}}, ""tender"": {""id"": ""QT190000000020713"", ""title"": ""PERKHIDMATAN KEBERSIHAN KAWASAN 2019"", ""status"": ""complete"", ""documents"": [{""id"": ""tender_url"", ""url"": ""https://ngeptrg.eperolehan.gov.my/quotation-tender-notice"", ""format"": ""text/html"", ""language"": ""en"", ""documentType"": ""tenderNotice""}], ""tenderPeriod"": {""endDate"": ""2019-01-30T12:00:00+00:00"", ""startDate"": ""2019-01-26T12:00:00+00:00""}, ""procurementMethod"": ""open""}, ""language"": ""my"", ""initiationType"": ""tender""}], ""publisher"": {""uid"": ""https://beta.companieshouse.gov.uk/company/04962733"", ""uri"": ""https://openopps.com"", ""name"": ""Open Opps"", ""scheme"": ""Companies House""}, ""publishedDate"": ""2020-02-20T11:48:06.712749+00:00"", ""publicationPolicy"": ""https://openopps.com/legal/""}",2019-01-26 12:00:00+00
108063928,td_eperolehan_my,QT190000000020744,ocds-0c46vo-0348-QT190000000020744,my,LATIHAN PENYEWAAN MESIN FOTOSTAT BESERTA BACAAN METER BAGI TEMPOH DUA(2) TAHUN (TAKLIMAT MOF),,,,2019-12-03 12:00:00+00,2019-12-03 12:00:00+00,2019-02-04 12:00:00+00,KETUA POLIS DAERAH MARAN PAHANG,,,,,Malaysia,,,,,,https://ngeptrg.eperolehan.gov.my/quotation-tender-notice,"",2019-04-06 02:08:13.660108,2020-02-20 11:48:08.597062+00,"{""uri"": ""https://openopps.com/tenders/ocds-0c46vo-0348-QT190000000020744/?format=json"", ""license"": ""https://opendatacommons.org/licenses/odbl/"", ""releases"": [{""id"": ""QT190000000020744"", ""tag"": [""tender""], ""date"": ""2019-12-03T12:00:00+00:00"", ""ocid"": ""ocds-0c46vo-0348-QT190000000020744"", ""buyer"": {""name"": ""KETUA POLIS DAERAH MARAN PAHANG"", ""address"": {""countryName"": ""Malaysia""}}, ""tender"": {""id"": ""QT190000000020744"", ""title"": ""LATIHAN PENYEWAAN MESIN FOTOSTAT BESERTA BACAAN METER BAGI TEMPOH DUA(2) TAHUN (TAKLIMAT MOF)"", ""status"": ""complete"", ""documents"": [{""id"": ""tender_url"", ""url"": ""https://ngeptrg.eperolehan.gov.my/quotation-tender-notice"", ""format"": ""text/html"", ""language"": ""en"", ""documentType"": ""tenderNotice""}], ""tenderPeriod"": {""endDate"": ""2019-02-04T12:00:00+00:00"", ""startDate"": ""2019-12-03T12:00:00+00:00""}, ""procurementMethod"": ""open""}, ""language"": ""my"", ""initiationType"": ""tender""}], ""publisher"": {""uid"": ""https://beta.companieshouse.gov.uk/company/04962733"", ""uri"": ""https://openopps.com"", ""name"": ""Open Opps"", ""scheme"": ""Companies House""}, ""publishedDate"": ""2020-02-20T11:48:07.214898+00:00"", ""publicationPolicy"": ""https://openopps.com/legal/""}",2019-12-03 12:00:00+00
