ocid,releasedate,aw_value
ocds-0c46vo-0384-SPE2DX19FBAKQ,2019-11-16 17:33:22.841220,459.99
ocds-0c46vo-0384-47QSEA19FA492,2019-11-17 08:18:07.054436,163.9
ocds-0c46vo-0384-SPE2D419F162G,2019-11-16 17:33:17.247129,463.5
ocds-0c46vo-0384-DOCAB133F07SE5321,2019-11-17 08:18:03.999849,9600.0
ocds-0c46vo-0384-47QSEA20F08BT,2019-11-16 17:33:13.016506,120.44
ocds-0c46vo-0384-HHSN267200700014C,2019-11-17 08:11:57.916479,79024601.0
ocds-0c46vo-0384-47QSCC19F238G,2019-11-16 17:32:38.954731,474.74
ocds-0c46vo-0384-47QSCC19F51NW,2019-11-17 07:52:21.976847,272.4
ocds-0c46vo-0384-47QSHA20F064Y,2019-11-16 17:32:30.397443,146.06
ocds-0c46vo-0384-47QSEA19FA5W3,2019-11-17 07:50:52.406822,111.4
ocds-0c46vo-0384-47QSEA20F08B7,2019-11-16 17:31:58.803164,161.28
ocds-0c46vo-0384-47QSEA19FA54Z,2019-11-17 07:50:03.886047,145.5
ocds-0c46vo-0384-SPETA619P0591,2019-11-16 17:31:55.388497,33750.0
ocds-0c46vo-0384-47QSWA19F6N45,2019-11-17 07:44:42.388839,63.54
ocds-0c46vo-0384-SPE8E819V1205,2019-11-16 17:31:43.472041,36665.0
ocds-0c46vo-0384-47QSEA19FA52L,2019-11-17 07:43:45.497282,219.6
ocds-0c46vo-0384-SPE2DX19FXYN6,2019-11-16 17:31:27.217260,495.9
ocds-0c46vo-0384-47QSWA19F6NP7,2019-11-17 07:42:51.572206,198.34
ocds-0c46vo-0384-47QSCC19F23HA,2019-11-16 17:31:24.724339,497.29
ocds-0c46vo-0384-47QSHA19F6DFM,2019-11-17 07:41:42.672122,122.6
ocds-0c46vo-0384-47QSEA20F08V4,2019-11-16 17:30:53.460840,202.8
ocds-0c46vo-0384-47QSEA19FA5EQ,2019-11-17 07:41:17.339902,794.24
ocds-0c46vo-0384-47QSEA20F08C1,2019-11-16 17:30:40.283965,213.5
ocds-0c46vo-0384-47QSHA19F6E32,2019-11-17 07:40:30.944655,241.9
ocds-0c46vo-0384-SPE4A619V9243,2019-11-16 17:30:23.241313,2496.6
ocds-0c46vo-0384-47QSHA19F6DXJ,2019-11-17 07:40:17.301206,28.17
ocds-0c46vo-0384-SPE8E319FEZ56,2019-11-16 17:30:20.032880,511.56
ocds-0c46vo-0384-HSCENV08P00020,2019-11-17 07:40:06.336788,4322.0
ocds-0c46vo-0384-47QSEA20F08NC,2019-11-16 17:29:02.073086,307.4
ocds-0c46vo-0384-47QSCC19F51D2,2019-11-17 07:39:09.852390,1130.91
ocds-0c46vo-0384-SPE2DV19F5UK5,2019-11-16 17:28:24.691227,4635.73
ocds-0c46vo-0384-47QSWA19P0EGZ,2019-11-16 08:53:07.906364,18.88
ocds-0c46vo-0384-47QSEA19FA5AN,2019-11-17 07:37:43.187751,756.6
ocds-0c46vo-0384-SPE4A519V0850,2019-11-16 17:28:17.111012,4716.7
ocds-0c46vo-0384-47QSMA19F1CQ0,2019-11-17 07:35:56.022334,285.96
ocds-0c46vo-0384-47QSEA20F08BK,2019-11-16 17:28:08.263798,414.46
ocds-0c46vo-0384-36C26319P1211,2019-11-17 07:32:49.156621,23309.0
ocds-0c46vo-0384-47QSEA20F08J5,2019-11-16 17:27:21.366887,530.0
ocds-0c46vo-0384-47QSWA19F6PMN,2019-11-17 07:30:20.335971,109.2
ocds-0c46vo-0384-W912ER19P0010,2019-11-16 17:27:10.210625,186511.0
ocds-0c46vo-0384-47QSWA19F6PEW,2019-11-17 07:26:29.577956,1524.0
ocds-0c46vo-0384-SPE2DX19FTUY0,2019-11-16 17:26:42.915827,5165.48
ocds-0c46vo-0353-JUN298888,2019-06-20 00:00:00.000000,31856762.0
ocds-0c46vo-0384-47QSWA19F6Q20,2019-11-17 07:24:11.427400,312.92
ocds-0c46vo-0353-JUN297663,2019-06-10 00:00:00.000000,1700000.0
ocds-0c46vo-0384-SPE60719FBJKL,2019-11-16 17:26:41.245179,5194.17
ocds-0c46vo-0384-47QSHA19F1ZS1,2019-11-16 12:44:26.962335,51.0
ocds-0c46vo-0384-47QSWA19P0G7W,2019-11-16 08:53:00.833551,320.3
ocds-0c46vo-0353-JUN297662,2019-06-10 00:00:00.000000,1650000.0
ocds-0c46vo-0353-JUN297669,2019-06-10 00:00:00.000000,350000.0
ocds-0c46vo-0384-SPE30019F2NSS,2019-11-16 12:43:34.431612,52.86
ocds-0c46vo-0384-47QSEA19F43VH,2019-11-16 08:52:25.529189,20.05
ocds-0c46vo-0384-SPE2DX19F51K6,2019-11-16 12:43:32.292530,1414.05
ocds-0c46vo-0384-47QSHA19F2JGX,2019-11-16 08:51:52.979208,20.97
ocds-0c46vo-0384-47QSWA19F6NZF,2019-11-17 07:19:44.251045,687.2
ocds-0c46vo-0384-36C24819C0040,2019-11-16 17:26:41.064083,264251.0
ocds-0c46vo-0384-47QSHA19F6EB2,2019-11-17 07:19:08.116683,530.0
ocds-0c46vo-0384-SPE7L119FAWN5,2019-11-16 17:26:06.387945,597.91
ocds-0c46vo-0384-SPE2DV19F2ND5,2019-11-16 12:43:22.303005,1999.68
ocds-0c46vo-0384-SPE2DV19FWVW8,2019-11-16 08:51:45.572248,21.52
ocds-0c46vo-0384-SPE7L119F497E,2019-11-16 12:42:52.139366,2074.35
ocds-0c46vo-0353-JUN297755,2019-06-10 00:00:00.000000,455000.0
ocds-0c46vo-0384-SPE3SU19F64AU,2019-11-16 08:51:27.716840,119.45
ocds-0c46vo-0353-JUN298931,2019-06-20 00:00:00.000000,2310.99
ocds-0c46vo-0353-JUN297507,2019-06-07 00:00:00.000000,602610.0
ocds-0c46vo-0384-SPE2D619F37AM,2019-11-16 12:42:42.679430,54.98
ocds-0c46vo-0384-SPE30019F2PZR,2019-11-16 08:51:27.497065,119.48
