releasedate,startdate,enddate,buyer,buyer_matched_name,level1,ocid,contactname,title,description,value,currency
2018-04-11 00:00:00+00,2018-04-11 00:00:00+00,2018-05-18 12:00:00+00,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0002-155197-2018,,Management consultancy framework 2 (mcf2),"Crown Commercial Service (CCS) wishes to establish a pan government Framework Agreement for use by UK public sector bodies which include Central Government Departments and their Arm Length Bodies and Agencies, the wider public sector and third sector including, including but not limited to, local government, health, education, police, fire and rescue, housing associations and charities. This agreement will complement the Management Consultancy Framework Agreement (RM3745), which is managed by CCS. Scope of assignments may be national or international.

Please note that this procurement is for professional services and not contingent workforce.",,
2019-09-20 00:00:00+00,,2019-10-21 00:00:00+00,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-443544-2019,,Linen and Laundry Services,"The suppliers appointed to Lot 1(a) will be responsible for the provision of standard wash linen and laundry services, including the processing (wash and finish) and transportation (collection and return) of linen items, which are hired to the buyer from the supplier.Lot 1(a) suppliers may also provide additional services to buyers (if required). The provision of additional services which may be required by buyers are detailed in paragraph 7 of this framework Schedule 1 (specification). The suppliers appointed to Lot 1(b) will be responsible for the provision of standard wash linen and laundry services, including the processing (wash and finish) and transportation (collection and return) of linen items, which are owned by the buyer.Lot 1(b) suppliers may also provide additional services to buyers (if required). The provision of additional services which may be required by buyers are detailed in paragraph 7 of this framework Schedule 1 (specification). The suppliers appointed to Lot 2 will be responsible for the provision of specialist laundry services (theatre packs and drapes) including the processing (wash and finish) and transportation (collection and return), hired to the buyer from the supplier.All suppliers appointed to Lot 2 must comply with the specific accreditations and performance criteria laid down in the European Standard EN13795; and the requirements of the European directive for the disinfection/decontamination of Medical Devices Directive 93/42/EEC (including the requirement to CE mark).Lot 2 suppliers may also provide additional services to buyers (if required). The provision of additional services which may be required by buyers are detailed in paragraph 7 of this framework Schedule 1 (specification). The suppliers appointed to Lot 3 will be responsible for the provision of specialist cleanroom laundry services including the processing (wash and finish) and transportation (collection and return) of cleanroom garments at the ISO classification specified by the buyer at the call-off stage.Lot 3 Suppliers may also provide additional services to buyers (if required). The provision of additional services which may be required by Buyers are detailed in paragraph 7 of this framework Schedule 1 (specification).",,
2017-05-12 00:00:00+00,2017-05-12 00:00:00+00,2017-06-12 15:00:00+00,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0002-180133-2017,,Public sector resourcing.,"Crown Commercial Service (CCS) is putting in place a pan government collaborative Framework Agreement for use by UK public sector bodies identified at VI.3 (and any future successors to these organisations). This Procurement will establish a single supplier public sector Framework Agreement for the supply of Contingent Workers.

Under this Framework Agreement, the Service Provider shall not be permitted to be an Agency Provider from its own business (or any affiliated businesses).

The Framework Agreement duration is six (6) years (refer to IV.1.3 of the Contract Notice).The duration in Section II 2.7 is for the placing of orders. Call Off Contracts may extend up to a maximum of 18 months after the expiry of the Framework Period (refer to Clause 10 of the Framework Agreement). Contracting Authorities shall not be able to enter into Call Off Contracts any time after the expiry of the Framework Period.",,
2017-03-07 00:00:00+00,2017-03-07 00:00:00+00,2017-04-03 11:00:00+00,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0002-085248-2017,,Contact centre services framework agreement.,"Crown Commercial Service as the Authority is putting in place a Pan Government Collaborative Framework Agreement for use by UK public sector bodies identified at V1.3) (and any future successors to these organisations), which include Central Government Departments and their Arm's Length Bodies and Agencies, Non Departmental Public Bodies, NHS Bodies and Local Authorities and the wider public sector.

The services within the scope of this Framework Agreement have been divided into 2 Lots:

— Lot 1 — Specialist Contact Centre Consultancy Services; and

— Lot 2 — Contact Centre Services.

Further details regarding the Lots are provided in Annex B.

Potential Providers have the opportunity to bid for both of the two (2) Lots. However if a Potential Provider is successful on both Lots they will only be awarded a place on the Lot that they have indicated in the Tender as their preferred Lot. For clarity, Potential Providers are not allowed to be awarded a Framework Agreement for both Lot 1 and Lot 2.

The duration of the Contact Centre Services Framework Agreement shall be for a period of four (4) years.",1000000000.0,GBP
2017-03-07 00:00:00+00,2017-03-07 00:00:00+00,2017-04-11 17:00:00+00,The Minister for the Cabinet Office acting through Crown Commercial,,,ocds-0c46vo-0002-085247-2017,,G-cloud 9 rm1557 ix.,"Crown Commercial Service as the Contracting Authority is putting in place a Framework Agreement for use by UK public sector bodies identified at VI.3 (and any future successors to these organisations), which include Central Government Departments and their Arm's Length Bodies and Agencies, Non Departmental Public Bodies, NHS bodies and Local Authorities.

The above Public Sector Bodies have a need for a compliant Procurement Vehicle to access Cloud Computing Services.

The maximum initial duration of any Call-Off Contract that may be placed by an eligible Contracting Body is 24 months with two extensions allowed, each of up to 12 months.

G-Cloud services, available via the Digital Marketplace, will require frequent procurement refreshes to bring on new suppliers and services. New iterations of this Framework are being considered at a varying frequency of 6-12 months depending on demand and/or availability of new services as the IT Cloud market develops. Potential Providers are recommended to respond to this Invitation to Tender to ensure services are displayed in the optimum manner on the Digital Marketplace. Potential Providers must respond to this G-Cloud 9 procurement via the Digital Marketplace and details of how to register are detailed at https://www.gov.uk/guidance/g-cloud-suppliers-guide#how-to-apply Potential Providers must register on the Digital Marketplace. Full instructions on how to register are detailed at https://www.gov.uk/guidance/g-cloud-suppliers-guide#how-to-apply

Full instructions are detailed at https://www.gov.uk/guidance/g-cloud-suppliers-guide#how-to-apply and details the steps that Potential Providers need to take to offer services on the Digital Marketplace.",600000000.0,GBP
2017-03-17 00:00:00+00,2017-03-17 00:00:00+00,2017-04-27 17:01:00+00,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0002-100502-2017,,Technology services 2 (rm3804).,"Crown Commercial Service as the Contracting Authority is putting in place a Pan Government Collaborative Framework Agreement for use by UK public sector bodies identified at VI.3 (and any future successors to these organisations), which include Central Government Departments and their Arm's Length Bodies and Agencies, Non Departmental Public Bodies, NHS bodies and Local Authorities.

The above Public Sector Bodies have a need for a technology service Framework Agreement, which will deliver local, regional and national technology services for the range of service outlined below.

The agreement will include but not be limited to the following technology support services:

— Hardware management and support,

— Software management and support,

— Network management and support,

— Data management,

— Enterprise security (Security Operations Centre — SOC services),

— Technology service discovery,

— Technology service disaggregation,

— Transition and transformation of existing technology services,

— Technology strategy and service design.

The Services covered by this Procurement have been sub-divided into 4 Lots, namely:

Lot 1 — Technology Strategy and Services Design,

Lot 2 — Transition and Transformation,

Lot 3 — Operational Services.

a — End User Services,

b — Operational Management,

c — Technical Management,

d — Application and Data Management.

Lot 4a — Programmes and Large Projects: Official Security Level.

Lot 4b — Programmes and Large Projects: above Official Security Level (Secret and Top Secret).

Bidders have the opportunity to bid for all or a combination of Lots 1 to 3. You will be eligible for a place on Lot 4a if you have been successful on all of Lots 1, 2 and 3 (including all of a, b, c and d).

You will be eligible for a place on Lot 4b if you have been successful on all Lots 1, 2 and 3 (including all of a, b, c and d) and passed the additional security requirements.

Crown Commercial Service reserves the right for an electronic auction to be held by contracting authority(s) during further competition among the parties to the Framework Agreement(s).",3000000000.0,GBP
2018-04-11 00:00:00+00,,2018-05-18 00:00:00+00,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-155197-2018,,Management Consultancy Framework 2 (MCF2),"The Supplier shall deliver assignments which may result in: Single, multiple assignments or a single project addressing a broad range of business consulting services for both advice and delivery. Reactive assignments, where the requirements and outcomes are known by the Customer. 
The Supplier shall deliver assignments which may result in: Assignments providing procurement, supply chain and commercial consultancy expertise to Customers. These may include advice and delivery of: Complex commercial procurement transactions, strategic, operational and dedicated large scale deployments. Procurement processes which may include but not limited to: requests for information, pre-qualification questionnaires, invitation to tender, specification and drafting. Transactional functional services which may include but not limited to: purchase to pay, purchase orders, contract management, automation, digitalisation or administering work, structuring of commercial models, which may include but not limited to: private finance initiative/public finance initiative/joint ventures/public private partnership and social economic partnerships. Category management including make or buy decisions. 
The Supplier shall deliver assignments which may result in: Advice and/or delivery of multi discipline multiple work streams/programmes or portfolios of work. Programmes or portfolios of work across government which are complex, multi-disciplinary, transformational and large scale Lead/support for Customers in the design, construction and implementation of dynamic, multiple work stream and interdependent projects. 
Services are likely to be assignments providing high level strategic advice to permanent secretaries, ministers and other senior civil/public servants, they may result in: Proposals to Customers which are based on insights, intelligence and expertise, academic research, papers written and published. Advice to support government direction or policies, as above based on knowledge and consultancy capabilities introduction of best practice and market leading advice to government. Diagnostic and analytical support for public sector leadership/management. Assignments to develop and or enhance business strategy in support of delivery of business goals.",,
2019-12-11 00:00:00+00,,,Crown Commercial Service on Behalf of the Cabinet Office,,,ocds-0c46vo-0133-586556-2019,Mr Abu Choudhury,SOP2SaaS Programme Enterprise Resource Planning (ERP) Replacement,"The authority currently uses a version of Oracle E-Business Suite version R12 (known as the single operating platform or ‘SOP’) as its ERP system which supports approximately 7 000 staff based in the UK.This is provided via a contract with Shared Services Connected Ltd (SSCL) which is due to expire in October 2023.The system is used across Cabinet Office directorates and functions by line managers, employees and functional users. SSCL provide the SOP system, support services relating to the SOP system (for example application support and maintenance) and change servicesrelating to the system.SOP is an ‘on-premise’ solution and the authority now seeks to replace SOP with a Software-as-a-Service (SaaS) alternative for potential deployment before October 2023.The SOP2SaaS programme is evaluating the options around the design, build and implementation of a SaaS alternative with a view to procuring an implementation partner to support the transition to SaaS.The purpose of this prior information notice is to:— inform potential suppliers of a possible procurement for the supply and implementation of a SaaS-based integrated ERP solution,— invite potential suppliers to register their interest for a potential procurement, and— elicit feedback from potential suppliers to inform the development of the procurement and programme strategy.",,
2019-12-11 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service (CCS),,,ocds-0c46vo-0133-586546-2019,Mr Abu Choudhury,SOP2SaaS Programme Enterprise Resource Planning (ERP) Replacement,"The authority currently uses a version of Oracle E-Business Suite version R12 (known as the Single Operating Platform or ‘SOP’) as its ERP system which supports approximately 7 000 staff based in the UK.This is provided via a contract with Shared Services Connected Ltd (SSCL) which is due to expire in October 2023.The system is used across Cabinet Office directorates and functions by line managers, employees and functional users. SSCL provide the SOP system, support services relating to the SOP system (for example application support and maintenance) and change services relating to the system.SOP is an ‘on-premise’ solution and the authority now seeks to replace SOP with a Software-as-a-Service (SaaS) alternative for potential deployment before October 2023.The SOP2SaaS programme is evaluating the options around the design, build and implementation of a SaaS alternative with a view to procuring an implementation partner to support the transition to SaaS.The purpose of this prior information notice is to:— inform potential suppliers of a possible procurement for the supply and implementation of a SaaS-based integrated ERP solution,— invite potential suppliers to register their interest for a potential procurement, and— elicit feedback from potential suppliers to inform the development of the procurement and programme strategy.",,
2019-09-13 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service (CCS),,,ocds-0c46vo-0133-430973-2019,RM6174 MFD Mailbox,"Multifunctional Devices, Managed Print Software, Equipment and Associated Services","Multifunctional devices, managed print software, equipment and associated services.The framework will be broken down into individual lots which will be finalised once customer and supplier engagement activity is completed. However, an indication of the types of services that will be requires include, but are not limited to:— entry level print management software (including consumables),— multifunctional devices, print management and software services (including consumables),— managed print and content management audit and consultancy services (including consumables),— GovPrint a cloud based managed print solution supporting a Software as a Service (SaaS),— printing equipment and print production equipment,— audits and consultancy services.",,
